"","Edad","IdSexo","IdNivelEducativo","IdTipoDeEmpresa","IdProvincia","IdPuesto","MesesDeExperiencia","IdTecnologiaPrincipal","CargaLaboral","SalarioNetoPorHora"
"24179",25,"Masculino","Universitario completo","Una empresa privada","GBA Zona Norte","Administrador de Almacenamiento (Storage)",96,"PostgreSql","Full Time",477.777777777778
"24180",36,"Masculino","Universitario completo","Un organismo estatal","Capital Federal","Desarrollador BI",60,"Microstrategy","Full Time",471.325
"24181",39,"Masculino","Universitario completo","Una empresa privada","GBA Zona Norte","Gerente de Infraestructura",60,"Linux","Full Time",700
"24182",25,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista de Seguridad Informática",36,"Linux","Full Time",387.5
"24183",34,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Arquitecto",144,".Net","Part Time",950
"24185",29,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Analista de Seguridad Informática",12,"Otro","Full Time",366.666666666667
"24186",31,"Masculino","Terciario en curso o incompleto","Una empresa privada","GBA Zona Norte","Líder de Soporte Técnico",60,"Windows","Full Time",275
"24187",33,"Masculino","Universitario completo","Un organismo estatal","Capital Federal","Analista Funcional",96,".Net","Full Time",625
"24188",42,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","Córdoba","Gerente de Proyectos",144,"SAP","Extra Time",583.333333333333
"24189",34,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista Funcional",60,"Unix","Full Time",437.5
"24190",29,"Masculino","Terciario completo","Una empresa privada","GBA Zona Norte","Administrador Middleware",60,"SSIS","Full Time",450
"24191",24,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Java","Full Time",350
"24192",25,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Soporte Técnico",60,"Windows","Full Time",215.555555555556
"24193",29,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",12,".Net","Very Extra Time",214.285714285714
"24195",28,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Sistemas",96,"Perl","Full Time",525
"24196",38,"Masculino","Master o postgrado completo","Una empresa privada","Capital Federal","Consultor TI",96,"SAP","Extra Time",326
"24197",29,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Consultor TI",12,"SAP","Full Time",387.5
"24198",47,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","Capital Federal","Gerente de Proyectos",144,"Java","Full Time",622.222222222222
"24199",61,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Gerente de Sistemas",144,".Net","Full Time",625
"24200",42,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Lider Técnico",60,".Net","Full Time",525
"24201",49,"Masculino","Terciario completo","Una empresa privada","GBA Zona Norte","Jefe de Sistemas",144,".Net","Full Time",555.555555555556
"24202",37,"Masculino","Universitario completo","Una empresa privada","GBA Zona Norte","Desarrollador de software / Programador",96,"SAP","Full Time",537.5
"24203",48,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Jefe de Sistemas",144,"Oracle","Full Time",725
"24204",35,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Tester Funcional",36,"Javascsript","Full Time",535.35
"24205",33,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Arquitecto",60,".Net","Full Time",475
"24207",24,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Objective-C","Full Time",560
"24208",38,"Masculino","Universitario en curso o incompleto","Mi propia empresa","GBA Zona Norte","Administrador de Almacenamiento (Storage)",144,".Net","Full Time",625
"24209",27,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","GBA Zona Sur","Jefe de Sistemas",60,".Net","Full Time",600
"24210",51,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",60,"Java","Full Time",550
"24211",34,"Masculino","Secundario completo","Una empresa privada","Córdoba","Consultor TI",60,"SAP","Full Time",525
"24212",52,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Lider de Proyecto",144,"ERP","Full Time",537.5
"24213",25,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Lider Técnico",12,"Android","Full Time",575
"24214",27,"Masculino","Universitario en curso o incompleto","Un organismo estatal","Buenos Aires","Desarrollador de software / Programador",60,"PHP","Part Time",283.333333333333
"24216",34,"Masculino","Terciario completo","Un organismo estatal","Capital Federal","Operador de Sistemas",144,"Linux","Full Time",475
"24217",34,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Lider de Proyecto",144,"Smalltalk","Full Time",475
"24219",28,"No informa","Universitario en curso o incompleto","Otro","Capital Federal","Administrador de Almacenamiento (Storage)",6,"Java","Full Time",409.333333333333
"24220",30,"Femenino","Universitario en curso o incompleto","Una empresa privada","Buenos Aires","Desarrollador de software / Programador",6,"Java","Full Time",192.95
"24221",33,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,"Java","Full Time",525
"24222",25,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,"PHP","Full Time",475
"24223",42,"Masculino","Terciario completo","Una empresa privada","Catamarca","Jefe de Sistemas",144,".Net","Full Time",750
"24224",24,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Java","Full Time",250
"24225",37,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",144,"Otro","Extra Time",620
"24228",38,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",36,"PHP","Full Time",330
"24229",36,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Jefe de Infraestructura",144,"Windows","Full Time",750
"24230",43,"Femenino","Terciario completo","Un organismo estatal","Córdoba","Administrador de Almacenamiento (Storage)",12,".Net","Full Time",200
"24231",28,"Masculino","Universitario completo","Una empresa privada","Entre Ríos","Lider Técnico",60,".Net","Full Time",462.5
"24232",29,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista Funcional",60,"Oracle","Full Time",450
"24233",25,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Lider Técnico",36,"Objective-C","Full Time",609.65
"24236",30,"Masculino","Universitario completo","Soy independiente / freelance","GBA Zona Sur","Desarrollador de software / Programador",60,"Java","Part Time",1000
"24237",35,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Administrador de Servidores",96,"Windows","Full Time",450
"24238",38,"Masculino","Universitario en curso o incompleto","Otro","Capital Federal","Administrador de Almacenamiento (Storage)",96,".Net","Full Time",488.888888888889
"24240",49,"Masculino","Universitario completo","Una empresa privada","GBA Zona Norte","Analista Funcional",144,".Net","Full Time",495.555555555556
"24241",28,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Lider de Proyecto",60,".Net","Very Extra Time",187.5
"24242",33,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista Funcional",96,"SAP","Extra Time",800
"24243",33,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Responsable de Infraestructura",96,"Linux","Full Time",375
"24245",32,"Femenino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Norte","Administrador de Almacenamiento (Storage)",36,"Javascsript","Full Time",560
"24248",41,"Masculino","Terciario completo","Una empresa privada","GBA Zona Norte","Administrador de Servidores",60,"AS/400","Full Time",412.5
"24249",36,"Masculino","Master o postgrado completo","Mi propia empresa","Capital Federal","Gerente de Proyectos",144,"SAP","Full Time",925
"24250",26,"Masculino","Terciario en curso o incompleto","Una empresa privada","Córdoba","Administrador de Almacenamiento (Storage)",36,".Net","Full Time",422.222222222222
"24252",31,"Masculino","Terciario completo","Un organismo estatal","San Luis","Administrador de Almacenamiento (Storage)",60,".Net","Part Time",350
"24253",28,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",36,".Net","Full Time",472.222222222222
"24254",36,"Masculino","Master o postgrado completo","Una empresa privada","Capital Federal","Gerente de Proyectos",60,".Net","Full Time",650
"24255",31,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Sistemas",60,"Windows","Full Time",375
"24256",55,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Gerente de Ventas TI",144,"Java","Full Time",800
"24257",45,"Masculino","Master o postgrado completo","Una empresa privada","Capital Federal","Director de Sistemas",144,".Net","Full Time",911.111111111111
"24258",30,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",12,".Net","Full Time",450
"24260",26,"Masculino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Oeste","Soporte Técnico",36,"Windows","Full Time",266.666666666667
"24261",44,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Otro",96,"PHP","Full Time",512.5
"24262",30,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",144,"Javascsript","Full Time",662.5
"24263",36,"No informa","Terciario completo","Una empresa privada","Córdoba","Administrador de Almacenamiento (Storage)",144,".Net","Full Time",311.111111111111
"24264",26,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Java","Full Time",219.488888888889
"24265",34,"Masculino","Universitario completo","Un organismo estatal","Sante Fe","Otro",36,"Otro","Full Time",300
"24266",23,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",36,"PHP","Part Time",350
"24267",37,"Masculino","Universitario completo","Una empresa privada","Córdoba","Lider Técnico",36,"Java","Full Time",425
"24268",26,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Gerente de Infraestructura",96,"Otro","Extra Time",710
"24269",34,"Masculino","Master o postgrado completo","Una empresa privada","Córdoba","Jefe de Tecnología",144,"SAP","Full Time",533.333333333333
"24270",45,"No informa","Master o postgrado completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",144,".Net","Full Time",600
"24273",30,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",96,"Python","Full Time",587.5
"24274",34,"Masculino","Terciario en curso o incompleto","Una empresa privada","Sante Fe","Soporte Técnico",36,"Windows","Full Time",348.888888888889
"24275",26,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Soporte Técnico",60,"Windows","Full Time",282.5
"24276",27,"Masculino","Secundario completo","Una empresa privada","GBA Zona Norte","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",222.244444444444
"24277",35,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",36,".Net","Full Time",425
"24278",34,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",96,"SAP","Full Time",500
"24279",26,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Desarrollo",96,"Java","Full Time",1125
"24280",48,"Masculino","Universitario completo","Una empresa privada","GBA Zona Norte","Gerente de Sistemas",144,"MSSQLServer","Full Time",1022.22222222222
"24281",29,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,"Java","Full Time",465
"24282",31,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",96,".Net","Full Time",373.333333333333
"24283",44,"Masculino","Universitario completo","Mi propia empresa","Capital Federal","Jefe de Sistemas",144,"Clipper","Full Time",300
"24284",30,"Masculino","Terciario en curso o incompleto","Una empresa privada","Capital Federal","Jefe de Sistemas",12,"Windows","Full Time",488.888888888889
"24285",47,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Consultor TI",144,"AS/400","Full Time",750
"24286",36,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",144,"C++","Full Time",550
"24287",27,"Masculino","Terciario en curso o incompleto","Una empresa privada","Córdoba","Administrador de Sistemas",36,"VMWare","Full Time",295.111111111111
"24288",37,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Gerente de Proyectos",144,".Net","Full Time",455
"24289",35,"No informa","Universitario completo","Un organismo estatal","Misiones","Lider de Proyecto",96,"PHP","Part Time",491.428571428571
"24290",37,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,".Net","Full Time",475
"24291",29,"Masculino","Universitario completo","Mi propia empresa","Capital Federal","Analista Funcional",60,"SAP","Full Time",625
"24292",37,"Masculino","Universitario en curso o incompleto","Una empresa privada","Córdoba","Administrador de Base de Datos",96,"Oracle","Full Time",450
"24293",25,"Masculino","Universitario en curso o incompleto","Una empresa privada","Sante Fe","Desarrollador de software / Programador",6,"Java","Full Time",282.5
"24294",51,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Analista de Procesos",144,".Net","Full Time",525
"24295",24,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",36,".Net","Full Time",312.5
"24297",35,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",144,"Java","Full Time",1375
"24299",42,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",96,"Java","Part Time",466.666666666667
"24300",50,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Jefe de Sistemas",60,".Net","Full Time",355.555555555556
"24301",40,"Masculino","Universitario completo","Una empresa privada","Sante Fe","Gerente de Tecnología",144,"Linux","Full Time",825
"24303",38,"Masculino","Universitario en curso o incompleto","Mi propia empresa","Capital Federal","Jefe de Desarrollo",144,"Java","Full Time",800
"24305",33,"Femenino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista Funcional",96,"Otro","Full Time",456.5
"24306",29,"Masculino","Universitario completo","Una empresa privada","GBA Zona Oeste","Lider de Proyecto",96,".Net","Full Time",1000
"24307",37,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",144,"MSSQLServer","Full Time",750
"24308",39,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",96,"Java","Full Time",600
"24309",32,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista Funcional",96,".Net","Full Time",373.1
"24311",38,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",144,"Java","Full Time",444.444444444444
"24312",30,"Masculino","Universitario en curso o incompleto","Un organismo estatal","Tucumán","Desarrollador de software / Programador",60,"Javascsript","Full Time",311.111111111111
"24314",32,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Administrador de Sistemas",96,"Windows","Full Time",355.555555555556
"24315",33,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador BI",96,"SAP","Full Time",625
"24316",48,"Femenino","Master o postgrado en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",144,".Net","Full Time",428.571428571429
"24317",37,"Masculino","Secundario completo","Una empresa privada","GBA Zona Sur","Soporte Técnico",36,"Windows","Full Time",190.909090909091
"24318",37,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",60,"Otro","Part Time",866.666666666667
"24319",39,"No informa","Universitario en curso o incompleto","Un organismo estatal","Mendoza","Gerente de Sistemas",144,"Windows","Part Time",542.857142857143
"24320",30,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Base de Datos",0,"MSSQLServer","Full Time",311.111111111111
"24321",26,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,".Net","Full Time",528.275
"24322",31,"Masculino","Universitario en curso o incompleto","Una empresa privada","Sante Fe","Jefe de Sistemas",60,"VMWare","Full Time",363.636363636364
"24324",35,"Masculino","Universitario completo","Una empresa privada","Córdoba","Administrador de Base de Datos",144,"MSSQLServer","Full Time",550
"24325",54,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",144,"Visual FoxPro","Part Time",625
"24327",38,"Masculino","Universitario en curso o incompleto","Mi propia empresa","GBA Zona Norte","Jefe de Desarrollo",0,"Visual FoxPro","Full Time",625
"24328",33,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Analista Funcional",96,".Net","Full Time",535
"24329",25,"Femenino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Analista BI",12,"CRM","Full Time",475
"24330",37,"Femenino","Terciario completo","Un organismo estatal","Capital Federal","Administrador de Almacenamiento (Storage)",60,".Net","Part Time",600
"24332",43,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Jefe de Comunicaciones",60,"CISCO","Full Time",688.888888888889
"24333",45,"Femenino","Universitario completo","Una empresa privada","Tucumán","Desarrollador de software / Programador",0,"PowerBuilder","Full Time",267.5
"24336",33,"Masculino","Universitario en curso o incompleto","Una empresa privada","Córdoba","Analista de Garantía de Calidad (QA)",96,"Oracle","Extra Time",226.48
"24337",28,"Masculino","Universitario completo","Una empresa privada","GBA Zona Sur","Supervisor de Infraestructura",96,"Windows","Full Time",462.5
"24339",37,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",525
"24342",42,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",96,".Net","Full Time",600
"24344",24,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Java","Full Time",475
"24345",26,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",12,"Java","Full Time",312.5
"24346",36,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,"Java","Full Time",480
"24348",27,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,"C++","Full Time",453.333333333333
"24349",36,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",96,"Windows","Extra Time",640
"24350",40,"Masculino","Universitario completo","Mi propia empresa","Capital Federal","Desarrollador de software / Programador",60,".Net","Full Time",500
"24351",37,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Consultor TI",144,"Otro","Full Time",480
"24352",25,"Masculino","Universitario en curso o incompleto","Una empresa privada","Buenos Aires","Desarrollador de software / Programador",12,"Ruby","Part Time",188.571428571429
"24353",42,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Gerente Regional de IT",144,"PHP","Full Time",888.888888888889
"24354",38,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",144,"Java","Full Time",600
"24356",23,"Femenino","Secundario completo","Una empresa privada","Neuquén","Administrador de Almacenamiento (Storage)",0,".Net","Extra Time",252.173913043478
"24360",29,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Desarrollador de software / Programador",96,".Net","Full Time",1175
"24361",30,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",625
"24362",31,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Operador NOC",36,"CISCO","Full Time",337.5
"24363",29,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",96,".Net","Full Time",372.093023255814
"24364",32,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",475
"24365",40,"Masculino","Universitario completo","Una empresa privada","Mendoza","Lider de Proyecto",144,"Java","Full Time",400
"24367",26,"Masculino","Universitario en curso o incompleto","Otro","GBA Zona Norte","Administrador de Sistemas",60,"Aix","Part Time",256.25
"24369",38,"No informa","Terciario completo","Una empresa privada","Capital Federal","Jefe de Compras TI",144,"Windows","Full Time",350
"24371",37,"Masculino","Secundario en curso o incompleto","Mi propia empresa","GBA Zona Oeste","Gerente General",144,"PHP","Full Time",250
"24374",35,"Masculino","Universitario completo","Un organismo estatal","Capital Federal","Lider de Proyecto",36,".Net","Full Time",500
"24375",35,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",830
"24376",37,"Masculino","Universitario completo","Soy independiente / freelance","Capital Federal","Desarrollador de software / Programador",144,"Java","Full Time",700
"24388",35,"Masculino","Universitario en curso o incompleto","Mi propia empresa","Neuquén","Desarrollador de software / Programador",96,"Delphi","Full Time",625
"24397",36,"Masculino","Universitario en curso o incompleto","Soy independiente / freelance","Mendoza","Desarrollador de software / Programador",144,"PHP","Full Time",550
"24399",38,"Masculino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Norte","Analista Funcional",60,".Net","Full Time",637.5
"24400",40,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",144,".Net","Full Time",750
"24401",33,"Masculino","Universitario completo","Mi propia empresa","Buenos Aires","Administrador de Base de Datos",96,"Oracle","Full Time",380
"24402",32,"Masculino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Norte","Gerente de Proyectos",144,"Otro","Full Time",925
"24403",55,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",36,"MySql Server","Extra Time",625
"24405",48,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Administrador de Almacenamiento (Storage)",144,".Net","Extra Time",367.34693877551
"24406",27,"Masculino","Terciario completo","Una empresa privada","Sante Fe","Desarrollador de software / Programador",6,".Net","Full Time",195.238095238095
"24409",24,"Masculino","Universitario en curso o incompleto","Una empresa privada","Corrientes","Desarrollador de software / Programador",36,".Net","Full Time",311.111111111111
"24411",26,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Desarrollador de software / Programador",60,".Net","Full Time",425
"24412",64,"Masculino","Terciario completo","Soy independiente / freelance","Capital Federal","Analista Funcional",144,"SAP","Full Time",525
"24413",33,"Masculino","Universitario en curso o incompleto","Un organismo estatal","Capital Federal","Administrador de Sistemas",60,"Windows","Part Time",278.057142857143
"24414",34,"Masculino","Universitario completo","Un organismo estatal","Río Negro","Desarrollador de software / Programador",96,"Java","Full Time",454.545454545455
"24415",53,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",144,"SAP","Full Time",600
"24417",58,"Masculino","Universitario en curso o incompleto","Una empresa privada","GBA Zona Norte","Líder de Seguridad Informática",144,"AS/400","Extra Time",600
"24418",30,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","Capital Federal","Ejecutivo de Cuenta",60,"Siebel","Full Time",675
"24419",24,"Femenino","Universitario en curso o incompleto","Un organismo estatal","Buenos Aires","Administrador de Almacenamiento (Storage)",12,".Net","Part Time",385.714285714286
"24420",35,"Masculino","Master o postgrado en curso o incompleto","Una empresa privada","GBA Zona Norte","Administrador de Almacenamiento (Storage)",36,".Net","Full Time",525
"24421",36,"Masculino","Universitario en curso o incompleto","Una empresa privada","Buenos Aires","Desarrollador de software / Programador",96,".Net","Full Time",501.3
"24422",49,"Masculino","Terciario completo","Una empresa privada","Capital Federal","Administrador de Base de Datos",60,"MSSQLServer","Full Time",511.111111111111
"24423",54,"Masculino","Universitario completo","Otro","Capital Federal","Administrador de Almacenamiento (Storage)",144,".Net","Full Time",888.888888888889
"24424",32,"Masculino","Secundario completo","Una empresa privada","Capital Federal","Lider de Proyecto",96,"Mainframe","Full Time",455.555555555556
"24425",32,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",144,"MSSQLServer","Full Time",575
"24426",35,"Masculino","Secundario completo","Una empresa privada","Buenos Aires","Administrador de Almacenamiento (Storage)",96,".Net","Extra Time",343.75
"24427",32,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",96,"Cobol","Full Time",500
"24428",34,"Masculino","Universitario completo","Una empresa privada","Entre Ríos","Administrador de Almacenamiento (Storage)",60,".Net","Full Time",350
"24429",31,"Masculino","Universitario completo","Una empresa privada","Entre Ríos","Administrador de Sistemas",60,"PowerBuilder","Full Time",422.222222222222
"24431",45,"No informa","Universitario completo","Una empresa privada","Capital Federal","Arquitecto",144,"MSSQLServer","Full Time",800
"24433",42,"Masculino","Universitario en curso o incompleto","Una empresa privada","Misiones","Coordinador de Grupo",96,"CRM","Full Time",417.5
"24434",37,"Masculino","Universitario en curso o incompleto","Una empresa privada","Capital Federal","Administrador de Proyectos",36,".Net","Full Time",398.75
"24435",41,"Femenino","No informa","Otro","Capital Federal","Administrador de Almacenamiento (Storage)",96,".Net","Full Time",168.888888888889
"24436",31,"Masculino","Terciario completo","Una empresa privada","GBA Zona Norte","Administrador de Almacenamiento (Storage)",96,".Net","Full Time",385
"24437",39,"Masculino","Universitario en curso o incompleto","Una empresa privada","Córdoba","Arquitecto",144,".Net","Full Time",500
"24439",30,"Masculino","Universitario completo","Mi propia empresa","Capital Federal","Lider BI",60,"QlikView","Full Time",600
"24440",29,"Femenino","Universitario completo","Una empresa privada","Buenos Aires","Desarrollador de software / Programador",36,"C++","Full Time",425
"24441",29,"Masculino","Universitario en curso o incompleto","Una empresa privada","Chaco","Responsable de Infraestructura",60,"Windows","Full Time",304.444444444444
"24442",38,"Masculino","Universitario completo","Una empresa privada","Capital Federal","Gerente de Proyectos",144,"CRM","Full Time",775
"24443",45,"Femenino","Universitario completo","Una empresa privada","Capital Federal","Lider de Proyecto",144,".Net","Full Time",600
"24444",44,"Masculino","Universitario completo","Una empresa privada","Tucumán","Administrador de Sistemas",36,"Windows","Full Time",425
"24445",54,"Masculino","Universitario completo","Una empresa privada","Entre Ríos","Lider Técnico",144,"SAP","Extra Time",420
"24446",33,"Masculino","Universitario en curso o incompleto","Una empresa privada","Sante Fe","Analista Funcional",12,".Net","Full Time",395.348837209302
